Language	Family	Prediction	Frequency
oldc1244	Sino-Tibetan	Unclassified	18
oldc1244	Sino-Tibetan	Sino-Tibetan	72
oldc1244	Sino-Tibetan	Austronesian	7
oldc1244	Sino-Tibetan	Tupian	1
oldc1244	Sino-Tibetan	Pama-Nyungan	1
oldc1244	Sino-Tibetan	Nuclear-Macro-Je	1
mand1415	Sino-Tibetan	Sino-Tibetan	98
mand1415	Sino-Tibetan	Austroasiatic	1
mand1415	Sino-Tibetan	Hmong-Mien	1
hakk1236	Sino-Tibetan	Sino-Tibetan	100
tokh1242	Indo-European	Indo-European	100
tokh1243	Indo-European	Indo-European	100
cupe1243	Uto-Aztecan	Unclassified	12
cupe1243	Uto-Aztecan	Austronesian	68
cupe1243	Uto-Aztecan	Miwok-Costanoan	1
cupe1243	Uto-Aztecan	Uto-Aztecan	8
cupe1243	Uto-Aztecan	Nuclear-Macro-Je	6
cupe1243	Uto-Aztecan	Chibchan	3
cupe1243	Uto-Aztecan	Cariban	1
cupe1243	Uto-Aztecan	Arawakan	1
cahu1264	Uto-Aztecan	Unclassified	67
cahu1264	Uto-Aztecan	Austronesian	23
cahu1264	Uto-Aztecan	Nyulnyulan	1
cahu1264	Uto-Aztecan	Nuclear-Macro-Je	3
cahu1264	Uto-Aztecan	Uto-Aztecan	6
luis1253	Uto-Aztecan	Unclassified	72
luis1253	Uto-Aztecan	Austronesian	27
luis1253	Uto-Aztecan	Uto-Aztecan	1
serr1255	Uto-Aztecan	Uto-Aztecan	27
serr1255	Uto-Aztecan	Unclassified	48
serr1255	Uto-Aztecan	Miwok-Costanoan	2
serr1255	Uto-Aztecan	Nuclear-Macro-Je	7
serr1255	Uto-Aztecan	Austronesian	8
serr1255	Uto-Aztecan	Arawakan	5
serr1255	Uto-Aztecan	Chibchan	1
serr1255	Uto-Aztecan	Cariban	1
serr1255	Uto-Aztecan	Nuclear Trans New Guinea	1
kawa1283	Uto-Aztecan	Austronesian	93
kawa1283	Uto-Aztecan	Chibchan	1
kawa1283	Uto-Aztecan	Nuclear-Macro-Je	3
kawa1283	Uto-Aztecan	West Bird's Head	1
kawa1283	Uto-Aztecan	Uto-Aztecan	2
mono1275	Uto-Aztecan	Austronesian	61
mono1275	Uto-Aztecan	Unclassified	35
mono1275	Uto-Aztecan	Nuclear-Macro-Je	4
coma1245	Uto-Aztecan	Unclassified	86
coma1245	Uto-Aztecan	Chumashan	1
coma1245	Uto-Aztecan	Austronesian	3
coma1245	Uto-Aztecan	Chibchan	2
coma1245	Uto-Aztecan	Uto-Aztecan	5
coma1245	Uto-Aztecan	Nuclear-Macro-Je	2
coma1245	Uto-Aztecan	Tupian	1
nort2954	Uto-Aztecan	Unclassified	69
nort2954	Uto-Aztecan	Austronesian	11
nort2954	Uto-Aztecan	Uto-Aztecan	5
nort2954	Uto-Aztecan	Nuclear-Macro-Je	6
nort2954	Uto-Aztecan	Chibchan	4
nort2954	Uto-Aztecan	Cariban	3
nort2954	Uto-Aztecan	Chumashan	1
nort2954	Uto-Aztecan	Pano-Tacanan	1
pana1305	Uto-Aztecan	Unclassified	100
tuba1278	Uto-Aztecan	Unclassified	87
tuba1278	Uto-Aztecan	Uto-Aztecan	6
tuba1278	Uto-Aztecan	Pama-Nyungan	4
tuba1278	Uto-Aztecan	Chibchan	1
tuba1278	Uto-Aztecan	Nuclear-Macro-Je	1
tuba1278	Uto-Aztecan	Austronesian	1
shos1248	Uto-Aztecan	Unclassified	99
shos1248	Uto-Aztecan	Nuclear-Macro-Je	1
hopi1249	Uto-Aztecan	Uto-Aztecan	78
hopi1249	Uto-Aztecan	Unclassified	21
hopi1249	Uto-Aztecan	Chibchan	1
kusu1250	Unclassified	Austroasiatic	42
kusu1250	Unclassified	Arawakan	4
kusu1250	Unclassified	Nuclear Trans New Guinea	31
kusu1250	Unclassified	Unclassified	21
kusu1250	Unclassified	Chibchan	1
kusu1250	Unclassified	Sino-Tibetan	1
bang1363	Unclassified	Dogon	95
bang1363	Unclassified	Unclassified	1
bang1363	Unclassified	Mande	3
bang1363	Unclassified	Atlantic-Congo	1
mapu1245	Unclassified	Atlantic-Congo	44
mapu1245	Unclassified	Timor-Alor-Pantar	5
mapu1245	Unclassified	Unclassified	25
mapu1245	Unclassified	Uralic	1
mapu1245	Unclassified	Pama-Nyungan	8
mapu1245	Unclassified	Angan	2
mapu1245	Unclassified	Chibchan	3
mapu1245	Unclassified	Nuclear-Macro-Je	5
mapu1245	Unclassified	Nakh-Daghestanian	3
mapu1245	Unclassified	Athabaskan-Eyak-Tlingit	1
mapu1245	Unclassified	Arawakan	1
mapu1245	Unclassified	Guaicuruan	2
basq1248	Unclassified	Nakh-Daghestanian	22
basq1248	Unclassified	Chibchan	11
basq1248	Unclassified	East Strickland	2
basq1248	Unclassified	Lakes Plain	10
basq1248	Unclassified	Afro-Asiatic	10
basq1248	Unclassified	Unclassified	12
basq1248	Unclassified	Arawakan	5
basq1248	Unclassified	Dravidian	1
basq1248	Unclassified	Austroasiatic	1
basq1248	Unclassified	Cochimi-Yuman	1
basq1248	Unclassified	Indo-European	13
basq1248	Unclassified	Tai-Kadai	1
basq1248	Unclassified	Uralic	9
basq1248	Unclassified	Quechuan	1
basq1248	Unclassified	Pano-Tacanan	1
cara1273	Unclassified	Arawakan	91
cara1273	Unclassified	Unclassified	2
cara1273	Unclassified	Pama-Nyungan	1
cara1273	Unclassified	Kru	4
cara1273	Unclassified	Anim	1
cara1273	Unclassified	Mande	1
