Language	Family	Prediction	Frequency
oldc1244	Sino-Tibetan	Sino-Tibetan	97
oldc1244	Sino-Tibetan	Unclassified	3
mand1415	Sino-Tibetan	Sino-Tibetan	100
hakk1236	Sino-Tibetan	Sino-Tibetan	85
hakk1236	Sino-Tibetan	Unclassified	15
tokh1242	Indo-European	Indo-European	100
tokh1243	Indo-European	Indo-European	100
cupe1243	Uto-Aztecan	Austronesian	27
cupe1243	Uto-Aztecan	Uto-Aztecan	4
cupe1243	Uto-Aztecan	Unclassified	48
cupe1243	Uto-Aztecan	Austroasiatic	3
cupe1243	Uto-Aztecan	Cariban	2
cupe1243	Uto-Aztecan	Chibchan	9
cupe1243	Uto-Aztecan	West Bird's Head	1
cupe1243	Uto-Aztecan	Nuclear Trans New Guinea	1
cupe1243	Uto-Aztecan	Arawakan	2
cupe1243	Uto-Aztecan	Guahiboan	2
cupe1243	Uto-Aztecan	Atlantic-Congo	1
cahu1264	Uto-Aztecan	Uto-Aztecan	4
cahu1264	Uto-Aztecan	Unclassified	89
cahu1264	Uto-Aztecan	Indo-European	4
cahu1264	Uto-Aztecan	Chibchan	2
cahu1264	Uto-Aztecan	Austroasiatic	1
luis1253	Uto-Aztecan	Austronesian	21
luis1253	Uto-Aztecan	Unclassified	66
luis1253	Uto-Aztecan	Uto-Aztecan	7
luis1253	Uto-Aztecan	Chibchan	4
luis1253	Uto-Aztecan	Timor-Alor-Pantar	1
luis1253	Uto-Aztecan	Nyulnyulan	1
serr1255	Uto-Aztecan	Arawakan	3
serr1255	Uto-Aztecan	Uto-Aztecan	20
serr1255	Uto-Aztecan	Unclassified	50
serr1255	Uto-Aztecan	Nuclear-Macro-Je	1
serr1255	Uto-Aztecan	Austroasiatic	2
serr1255	Uto-Aztecan	Miwok-Costanoan	2
serr1255	Uto-Aztecan	Austronesian	12
serr1255	Uto-Aztecan	Nuclear Trans New Guinea	3
serr1255	Uto-Aztecan	Cariban	3
serr1255	Uto-Aztecan	Chibchan	4
kawa1283	Uto-Aztecan	Chocoan	4
kawa1283	Uto-Aztecan	Chibchan	21
kawa1283	Uto-Aztecan	Austronesian	23
kawa1283	Uto-Aztecan	Unclassified	27
kawa1283	Uto-Aztecan	Arawakan	7
kawa1283	Uto-Aztecan	Lakes Plain	2
kawa1283	Uto-Aztecan	Uto-Aztecan	6
kawa1283	Uto-Aztecan	Pama-Nyungan	1
kawa1283	Uto-Aztecan	Guahiboan	2
kawa1283	Uto-Aztecan	Miwok-Costanoan	2
kawa1283	Uto-Aztecan	Nyulnyulan	1
kawa1283	Uto-Aztecan	Cochimi-Yuman	1
kawa1283	Uto-Aztecan	Tupian	1
kawa1283	Uto-Aztecan	Cariban	2
mono1275	Uto-Aztecan	Austronesian	27
mono1275	Uto-Aztecan	Unclassified	46
mono1275	Uto-Aztecan	Chibchan	20
mono1275	Uto-Aztecan	Lakes Plain	3
mono1275	Uto-Aztecan	Austroasiatic	1
mono1275	Uto-Aztecan	Chumashan	1
mono1275	Uto-Aztecan	Miwok-Costanoan	1
mono1275	Uto-Aztecan	Cariban	1
coma1245	Uto-Aztecan	Uto-Aztecan	7
coma1245	Uto-Aztecan	Unclassified	40
coma1245	Uto-Aztecan	Sino-Tibetan	20
coma1245	Uto-Aztecan	Chibchan	15
coma1245	Uto-Aztecan	Austronesian	2
coma1245	Uto-Aztecan	Tupian	2
coma1245	Uto-Aztecan	Chumashan	10
coma1245	Uto-Aztecan	Chicham	1
coma1245	Uto-Aztecan	Chocoan	1
coma1245	Uto-Aztecan	Cariban	1
coma1245	Uto-Aztecan	Cochimi-Yuman	1
nort2954	Uto-Aztecan	Uto-Aztecan	2
nort2954	Uto-Aztecan	Unclassified	88
nort2954	Uto-Aztecan	Chibchan	5
nort2954	Uto-Aztecan	Arawakan	3
nort2954	Uto-Aztecan	Austroasiatic	1
nort2954	Uto-Aztecan	Chumashan	1
pana1305	Uto-Aztecan	Uto-Aztecan	1
pana1305	Uto-Aztecan	Unclassified	99
tuba1278	Uto-Aztecan	Nyulnyulan	7
tuba1278	Uto-Aztecan	Unclassified	76
tuba1278	Uto-Aztecan	Uto-Aztecan	2
tuba1278	Uto-Aztecan	Austronesian	5
tuba1278	Uto-Aztecan	Pama-Nyungan	4
tuba1278	Uto-Aztecan	Guahiboan	1
tuba1278	Uto-Aztecan	Austroasiatic	1
tuba1278	Uto-Aztecan	Cariban	3
tuba1278	Uto-Aztecan	Indo-European	1
shos1248	Uto-Aztecan	Uto-Aztecan	3
shos1248	Uto-Aztecan	Unclassified	90
shos1248	Uto-Aztecan	Cariban	2
shos1248	Uto-Aztecan	Sino-Tibetan	2
shos1248	Uto-Aztecan	Nuclear Trans New Guinea	1
shos1248	Uto-Aztecan	Boran	1
shos1248	Uto-Aztecan	Austroasiatic	1
hopi1249	Uto-Aztecan	Uto-Aztecan	100
kusu1250	Unclassified	Sino-Tibetan	46
kusu1250	Unclassified	Nuclear Trans New Guinea	9
kusu1250	Unclassified	Austroasiatic	20
kusu1250	Unclassified	Unclassified	25
bang1363	Unclassified	Dogon	81
bang1363	Unclassified	Mande	12
bang1363	Unclassified	Atlantic-Congo	2
bang1363	Unclassified	Unclassified	3
bang1363	Unclassified	Afro-Asiatic	1
bang1363	Unclassified	Austronesian	1
mapu1245	Unclassified	Pama-Nyungan	87
mapu1245	Unclassified	Austronesian	10
mapu1245	Unclassified	Guahiboan	1
mapu1245	Unclassified	Unclassified	1
mapu1245	Unclassified	Timor-Alor-Pantar	1
basq1248	Unclassified	Afro-Asiatic	29
basq1248	Unclassified	Indo-European	16
basq1248	Unclassified	Unclassified	24
basq1248	Unclassified	Nakh-Daghestanian	18
basq1248	Unclassified	Uralic	8
basq1248	Unclassified	Salishan	5
cara1273	Unclassified	Nuclear Trans New Guinea	6
cara1273	Unclassified	Arawakan	56
cara1273	Unclassified	Pama-Nyungan	27
cara1273	Unclassified	Mande	2
cara1273	Unclassified	Austronesian	4
cara1273	Unclassified	Afro-Asiatic	2
cara1273	Unclassified	Kru	1
cara1273	Unclassified	Cariban	1
cara1273	Unclassified	Dogon	1
