Run	Family	Languages	Tested	Accuracy
0	Athabaskan-Eyak-Tlingit	33	7	100.0
1	Athabaskan-Eyak-Tlingit	33	7	85.714
2	Athabaskan-Eyak-Tlingit	33	7	85.714
3	Athabaskan-Eyak-Tlingit	33	7	85.714
4	Athabaskan-Eyak-Tlingit	33	7	85.714
5	Athabaskan-Eyak-Tlingit	33	7	85.714
6	Athabaskan-Eyak-Tlingit	33	7	85.714
7	Athabaskan-Eyak-Tlingit	33	7	85.714
8	Athabaskan-Eyak-Tlingit	33	7	100.0
9	Athabaskan-Eyak-Tlingit	33	7	85.714
10	Athabaskan-Eyak-Tlingit	33	7	85.714
11	Athabaskan-Eyak-Tlingit	33	7	85.714
12	Athabaskan-Eyak-Tlingit	33	7	85.714
13	Athabaskan-Eyak-Tlingit	33	7	85.714
14	Athabaskan-Eyak-Tlingit	33	7	100.0
15	Athabaskan-Eyak-Tlingit	33	7	100.0
16	Athabaskan-Eyak-Tlingit	33	7	85.714
17	Athabaskan-Eyak-Tlingit	33	7	85.714
18	Athabaskan-Eyak-Tlingit	33	7	85.714
19	Athabaskan-Eyak-Tlingit	33	7	85.714
20	Athabaskan-Eyak-Tlingit	33	7	100.0
21	Athabaskan-Eyak-Tlingit	33	7	100.0
22	Athabaskan-Eyak-Tlingit	33	7	85.714
23	Athabaskan-Eyak-Tlingit	33	7	85.714
24	Athabaskan-Eyak-Tlingit	33	7	85.714
25	Athabaskan-Eyak-Tlingit	33	7	100.0
26	Athabaskan-Eyak-Tlingit	33	7	85.714
27	Athabaskan-Eyak-Tlingit	33	7	100.0
28	Athabaskan-Eyak-Tlingit	33	7	85.714
29	Athabaskan-Eyak-Tlingit	33	7	100.0
30	Athabaskan-Eyak-Tlingit	33	7	85.714
31	Athabaskan-Eyak-Tlingit	33	7	85.714
32	Athabaskan-Eyak-Tlingit	33	7	100.0
33	Athabaskan-Eyak-Tlingit	33	7	100.0
34	Athabaskan-Eyak-Tlingit	33	7	85.714
35	Athabaskan-Eyak-Tlingit	33	7	85.714
36	Athabaskan-Eyak-Tlingit	33	7	85.714
37	Athabaskan-Eyak-Tlingit	33	7	85.714
38	Athabaskan-Eyak-Tlingit	33	7	85.714
39	Athabaskan-Eyak-Tlingit	33	7	85.714
40	Athabaskan-Eyak-Tlingit	33	7	85.714
41	Athabaskan-Eyak-Tlingit	33	7	85.714
42	Athabaskan-Eyak-Tlingit	33	7	85.714
43	Athabaskan-Eyak-Tlingit	33	7	85.714
44	Athabaskan-Eyak-Tlingit	33	7	100.0
45	Athabaskan-Eyak-Tlingit	33	7	85.714
46	Athabaskan-Eyak-Tlingit	33	7	100.0
47	Athabaskan-Eyak-Tlingit	33	7	85.714
48	Athabaskan-Eyak-Tlingit	33	7	85.714
49	Athabaskan-Eyak-Tlingit	33	7	85.714
50	Athabaskan-Eyak-Tlingit	33	7	100.0
51	Athabaskan-Eyak-Tlingit	33	7	85.714
52	Athabaskan-Eyak-Tlingit	33	7	85.714
53	Athabaskan-Eyak-Tlingit	33	7	85.714
54	Athabaskan-Eyak-Tlingit	33	7	85.714
55	Athabaskan-Eyak-Tlingit	33	7	85.714
56	Athabaskan-Eyak-Tlingit	33	7	100.0
57	Athabaskan-Eyak-Tlingit	33	7	100.0
58	Athabaskan-Eyak-Tlingit	33	7	85.714
59	Athabaskan-Eyak-Tlingit	33	7	100.0
60	Athabaskan-Eyak-Tlingit	33	7	85.714
61	Athabaskan-Eyak-Tlingit	33	7	85.714
62	Athabaskan-Eyak-Tlingit	33	7	85.714
63	Athabaskan-Eyak-Tlingit	33	7	85.714
64	Athabaskan-Eyak-Tlingit	33	7	85.714
65	Athabaskan-Eyak-Tlingit	33	7	100.0
66	Athabaskan-Eyak-Tlingit	33	7	85.714
67	Athabaskan-Eyak-Tlingit	33	7	85.714
68	Athabaskan-Eyak-Tlingit	33	7	85.714
69	Athabaskan-Eyak-Tlingit	33	7	85.714
70	Athabaskan-Eyak-Tlingit	33	7	85.714
71	Athabaskan-Eyak-Tlingit	33	7	85.714
72	Athabaskan-Eyak-Tlingit	33	7	100.0
73	Athabaskan-Eyak-Tlingit	33	7	85.714
74	Athabaskan-Eyak-Tlingit	33	7	85.714
75	Athabaskan-Eyak-Tlingit	33	7	85.714
76	Athabaskan-Eyak-Tlingit	33	7	85.714
