Run	Family	Languages	Tested	Accuracy
0	Austronesian	441	88	97.727
1	Austronesian	441	83	100.0
2	Austronesian	441	85	98.824
3	Austronesian	441	84	97.619
4	Austronesian	441	90	100.0
5	Austronesian	441	80	98.75
6	Austronesian	441	93	97.849
7	Austronesian	441	87	98.851
8	Austronesian	441	89	100.0
9	Austronesian	441	84	98.81
10	Austronesian	441	82	100.0
11	Austronesian	441	87	96.552
12	Austronesian	441	97	100.0
13	Austronesian	441	85	96.471
14	Austronesian	441	80	98.75
15	Austronesian	441	96	98.958
16	Austronesian	441	79	100.0
17	Austronesian	441	95	100.0
18	Austronesian	441	97	98.969
19	Austronesian	441	80	95.0
20	Austronesian	441	79	100.0
21	Austronesian	441	85	100.0
22	Austronesian	441	83	100.0
23	Austronesian	441	79	100.0
24	Austronesian	441	91	97.802
25	Austronesian	441	91	100.0
26	Austronesian	441	87	98.851
27	Austronesian	441	96	100.0
28	Austronesian	441	89	96.629
29	Austronesian	441	79	98.734
30	Austronesian	441	84	97.619
31	Austronesian	441	110	99.091
32	Austronesian	441	91	98.901
33	Austronesian	441	84	98.81
34	Austronesian	441	98	100.0
35	Austronesian	441	94	100.0
36	Austronesian	441	80	96.25
37	Austronesian	441	100	97.0
38	Austronesian	441	82	98.78
39	Austronesian	441	93	97.849
40	Austronesian	441	84	97.619
41	Austronesian	441	85	98.824
42	Austronesian	441	87	97.701
43	Austronesian	441	86	98.837
44	Austronesian	441	76	96.053
45	Austronesian	441	92	100.0
46	Austronesian	441	88	96.591
47	Austronesian	441	82	97.561
48	Austronesian	441	95	100.0
49	Austronesian	441	87	100.0
50	Austronesian	441	106	99.057
51	Austronesian	441	98	97.959
52	Austronesian	441	92	100.0
53	Austronesian	441	90	100.0
54	Austronesian	441	89	98.876
55	Austronesian	441	91	100.0
56	Austronesian	441	95	98.947
57	Austronesian	441	81	97.531
58	Austronesian	441	79	98.734
59	Austronesian	441	88	97.727
60	Austronesian	441	83	100.0
61	Austronesian	441	83	97.59
62	Austronesian	441	93	97.849
63	Austronesian	441	80	97.5
64	Austronesian	441	81	96.296
65	Austronesian	441	95	96.842
66	Austronesian	441	93	100.0
67	Austronesian	441	93	98.925
68	Austronesian	441	98	97.959
69	Austronesian	441	87	97.701
70	Austronesian	441	98	100.0
