Language	Family	Prediction	Frequency
hakk1236	Sino-Tibetan	Indo-European	2
hakk1236	Sino-Tibetan	Hmong-Mien	27
hakk1236	Sino-Tibetan	Austroasiatic	55
hakk1236	Sino-Tibetan	Austronesian	11
hakk1236	Sino-Tibetan	Sino-Tibetan	4
hakk1236	Sino-Tibetan	Unclassified	1
mand1415	Sino-Tibetan	Hmong-Mien	94
mand1415	Sino-Tibetan	Tai-Kadai	6
wuch1236	Sino-Tibetan	Hmong-Mien	95
wuch1236	Sino-Tibetan	Sino-Tibetan	2
wuch1236	Sino-Tibetan	Austroasiatic	3
wutu1241	Sino-Tibetan	Sino-Tibetan	100
yuec1235	Sino-Tibetan	Indo-European	2
yuec1235	Sino-Tibetan	Austronesian	55
yuec1235	Sino-Tibetan	Unclassified	21
yuec1235	Sino-Tibetan	Austroasiatic	6
yuec1235	Sino-Tibetan	Hmong-Mien	16
cahu1264	Uto-Aztecan	Uto-Aztecan	44
cahu1264	Uto-Aztecan	Chibchan	5
cahu1264	Uto-Aztecan	Unclassified	20
cahu1264	Uto-Aztecan	Nuclear-Macro-Je	21
cahu1264	Uto-Aztecan	Cariban	2
cahu1264	Uto-Aztecan	Tupian	8
coma1245	Uto-Aztecan	Unclassified	94
coma1245	Uto-Aztecan	Sino-Tibetan	3
coma1245	Uto-Aztecan	Tupian	1
coma1245	Uto-Aztecan	Uto-Aztecan	1
coma1245	Uto-Aztecan	Nuclear-Macro-Je	1
cupe1243	Uto-Aztecan	Nuclear-Macro-Je	47
cupe1243	Uto-Aztecan	Tupian	24
cupe1243	Uto-Aztecan	Unclassified	14
cupe1243	Uto-Aztecan	Pama-Nyungan	1
cupe1243	Uto-Aztecan	Cariban	10
cupe1243	Uto-Aztecan	Sino-Tibetan	3
cupe1243	Uto-Aztecan	Siouan	1
kawa1283	Uto-Aztecan	Atlantic-Congo	8
kawa1283	Uto-Aztecan	Cariban	49
kawa1283	Uto-Aztecan	Arawakan	20
kawa1283	Uto-Aztecan	Pama-Nyungan	8
kawa1283	Uto-Aztecan	Tucanoan	11
kawa1283	Uto-Aztecan	Quechuan	1
kawa1283	Uto-Aztecan	Algic	1
kawa1283	Uto-Aztecan	Ta-Ne-Omotic	2
luis1253	Uto-Aztecan	Unclassified	83
luis1253	Uto-Aztecan	Koiarian	1
luis1253	Uto-Aztecan	Pano-Tacanan	4
luis1253	Uto-Aztecan	Chocoan	2
luis1253	Uto-Aztecan	Chicham	7
luis1253	Uto-Aztecan	Uto-Aztecan	2
luis1253	Uto-Aztecan	Pama-Nyungan	1
mono1275	Uto-Aztecan	Unclassified	49
mono1275	Uto-Aztecan	Ta-Ne-Omotic	1
mono1275	Uto-Aztecan	Pano-Tacanan	21
mono1275	Uto-Aztecan	Tupian	11
mono1275	Uto-Aztecan	Sino-Tibetan	5
mono1275	Uto-Aztecan	Uto-Aztecan	2
mono1275	Uto-Aztecan	Cariban	3
mono1275	Uto-Aztecan	Chocoan	1
mono1275	Uto-Aztecan	Athabaskan-Eyak-Tlingit	1
mono1275	Uto-Aztecan	Atlantic-Congo	2
mono1275	Uto-Aztecan	Nuclear-Macro-Je	1
mono1275	Uto-Aztecan	Pama-Nyungan	3
nort2954	Uto-Aztecan	Unclassified	99
nort2954	Uto-Aztecan	Uto-Aztecan	1
pana1305	Uto-Aztecan	Pama-Nyungan	90
pana1305	Uto-Aztecan	Arawakan	1
pana1305	Uto-Aztecan	Unclassified	8
pana1305	Uto-Aztecan	Nuclear-Macro-Je	1
serr1255	Uto-Aztecan	Sino-Tibetan	40
serr1255	Uto-Aztecan	Ta-Ne-Omotic	1
serr1255	Uto-Aztecan	Uto-Aztecan	19
serr1255	Uto-Aztecan	Chocoan	13
serr1255	Uto-Aztecan	Nuclear-Macro-Je	18
serr1255	Uto-Aztecan	Chibchan	3
serr1255	Uto-Aztecan	Unclassified	3
serr1255	Uto-Aztecan	Yam	1
serr1255	Uto-Aztecan	Zaparoan	1
serr1255	Uto-Aztecan	Cariban	1
shos1248	Uto-Aztecan	Unclassified	76
shos1248	Uto-Aztecan	Pano-Tacanan	12
shos1248	Uto-Aztecan	Nuclear-Macro-Je	10
shos1248	Uto-Aztecan	Muskogean	1
shos1248	Uto-Aztecan	Sino-Tibetan	1
tuba1278	Uto-Aztecan	Unclassified	77
tuba1278	Uto-Aztecan	Afro-Asiatic	6
tuba1278	Uto-Aztecan	Otomanguean	3
tuba1278	Uto-Aztecan	Uralic	2
tuba1278	Uto-Aztecan	Uto-Aztecan	6
tuba1278	Uto-Aztecan	Indo-European	3
tuba1278	Uto-Aztecan	Austronesian	2
tuba1278	Uto-Aztecan	Surmic	1
utes1238	Uto-Aztecan	Unclassified	65
utes1238	Uto-Aztecan	Sino-Tibetan	13
utes1238	Uto-Aztecan	Nuclear-Macro-Je	2
utes1238	Uto-Aztecan	Austronesian	5
utes1238	Uto-Aztecan	Chicham	6
utes1238	Uto-Aztecan	Chocoan	4
utes1238	Uto-Aztecan	Siouan	3
