Language	Family	Prediction	Frequency
utes1238	Uto-Aztecan	Mongolic-Khitan	2
bang1363	Unclassified	Central Sudanic	2
bang1363	Unclassified	Mande	66
bang1363	Unclassified	Atlantic-Congo	29
bang1363	Unclassified	Unclassified	3
basq1248	Unclassified	Unclassified	34
basq1248	Unclassified	Chibchan	1
basq1248	Unclassified	Zaparoan	4
basq1248	Unclassified	Sino-Tibetan	47
basq1248	Unclassified	Nuclear-Macro-Je	13
basq1248	Unclassified	Indo-European	1
kusu1250	Unclassified	Sino-Tibetan	66
kusu1250	Unclassified	Unclassified	12
kusu1250	Unclassified	Ta-Ne-Omotic	13
kusu1250	Unclassified	Dravidian	9
mapu1245	Unclassified	Austronesian	17
mapu1245	Unclassified	Salishan	41
mapu1245	Unclassified	Unclassified	29
mapu1245	Unclassified	Otomanguean	6
mapu1245	Unclassified	Algic	5
mapu1245	Unclassified	Austroasiatic	1
mapu1245	Unclassified	Siouan	1
