Language	Family	Prediction	Frequency
minn1241	Sino-Tibetan	Hmong-Mien	4
minn1241	Sino-Tibetan	Sino-Tibetan	94
minn1241	Sino-Tibetan	Otomanguean	2
yuec1235	Sino-Tibetan	Sino-Tibetan	67
yuec1235	Sino-Tibetan	North Halmahera	3
yuec1235	Sino-Tibetan	Dagan	12
yuec1235	Sino-Tibetan	Hmong-Mien	10
yuec1235	Sino-Tibetan	Atlantic-Congo	1
yuec1235	Sino-Tibetan	Sko	3
yuec1235	Sino-Tibetan	Kiowa-Tanoan	1
yuec1235	Sino-Tibetan	Otomanguean	2
yuec1235	Sino-Tibetan	Athabaskan-Eyak-Tlingit	1
dung1253	Sino-Tibetan	Sino-Tibetan	100
mind1253	Sino-Tibetan	Sino-Tibetan	70
mind1253	Sino-Tibetan	Austronesian	23
mind1253	Sino-Tibetan	Unclassified	6
mind1253	Sino-Tibetan	Hmong-Mien	1
ganc1239	Sino-Tibetan	Sino-Tibetan	94
ganc1239	Sino-Tibetan	Atlantic-Congo	3
ganc1239	Sino-Tibetan	Nuclear Trans New Guinea	2
ganc1239	Sino-Tibetan	Hmong-Mien	1
hakk1236	Sino-Tibetan	Sino-Tibetan	100
huiz1242	Sino-Tibetan	Sino-Tibetan	84
huiz1242	Sino-Tibetan	Hmong-Mien	1
huiz1242	Sino-Tibetan	Unclassified	15
mand1415	Sino-Tibetan	Sino-Tibetan	100
jiny1235	Sino-Tibetan	Sino-Tibetan	54
jiny1235	Sino-Tibetan	Hmong-Mien	45
jiny1235	Sino-Tibetan	Iroquoian	1
xian1251	Sino-Tibetan	Sino-Tibetan	100
midd1344	Sino-Tibetan	Sino-Tibetan	100
minb1244	Sino-Tibetan	Sino-Tibetan	99
minb1244	Sino-Tibetan	Hmong-Mien	1
oldc1244	Sino-Tibetan	Sino-Tibetan	86
oldc1244	Sino-Tibetan	Austronesian	12
oldc1244	Sino-Tibetan	Mande	2
puxi1243	Sino-Tibetan	Sino-Tibetan	100
wuch1236	Sino-Tibetan	Sino-Tibetan	100
wutu1241	Sino-Tibetan	Sino-Tibetan	100
