Language	Family	Prediction	Frequency
minz1235	Sino-Tibetan	Sino-Tibetan	100
hitt1242	Indo-European	Indo-European	90
hitt1242	Indo-European	Sino-Tibetan	10
tokh1242	Indo-European	Indo-European	99
tokh1242	Indo-European	Uralic	1
tokh1243	Indo-European	Indo-European	100
cahu1264	Uto-Aztecan	Uto-Aztecan	93
cahu1264	Uto-Aztecan	Unclassified	7
coma1245	Uto-Aztecan	Unclassified	78
coma1245	Uto-Aztecan	Chibchan	4
coma1245	Uto-Aztecan	Mixe-Zoque	8
coma1245	Uto-Aztecan	Caddoan	1
coma1245	Uto-Aztecan	Uto-Aztecan	6
coma1245	Uto-Aztecan	Lakes Plain	3
cupe1243	Uto-Aztecan	Unclassified	8
cupe1243	Uto-Aztecan	Uto-Aztecan	88
cupe1243	Uto-Aztecan	Eleman	1
cupe1243	Uto-Aztecan	Indo-European	2
cupe1243	Uto-Aztecan	Mande	1
serr1255	Uto-Aztecan	Atlantic-Congo	17
serr1255	Uto-Aztecan	Unclassified	25
serr1255	Uto-Aztecan	Uto-Aztecan	22
serr1255	Uto-Aztecan	Indo-European	24
serr1255	Uto-Aztecan	Pama-Nyungan	11
serr1255	Uto-Aztecan	Cariban	1
hopi1249	Uto-Aztecan	Uto-Aztecan	56
hopi1249	Uto-Aztecan	Unclassified	39
hopi1249	Uto-Aztecan	Atlantic-Congo	4
hopi1249	Uto-Aztecan	Nuclear-Macro-Je	1
kawa1283	Uto-Aztecan	Chibchan	20
kawa1283	Uto-Aztecan	Hmong-Mien	12
kawa1283	Uto-Aztecan	Pano-Tacanan	1
kawa1283	Uto-Aztecan	Timor-Alor-Pantar	1
kawa1283	Uto-Aztecan	Lakes Plain	9
kawa1283	Uto-Aztecan	Sko	23
kawa1283	Uto-Aztecan	Kiowa-Tanoan	16
kawa1283	Uto-Aztecan	Siouan	1
kawa1283	Uto-Aztecan	Tucanoan	8
kawa1283	Uto-Aztecan	Uto-Aztecan	2
kawa1283	Uto-Aztecan	Nuclear-Macro-Je	1
kawa1283	Uto-Aztecan	Tupian	1
kawa1283	Uto-Aztecan	Koiarian	1
kawa1283	Uto-Aztecan	Unclassified	1
kawa1283	Uto-Aztecan	Chocoan	1
kawa1283	Uto-Aztecan	Iroquoian	1
kawa1283	Uto-Aztecan	North Halmahera	1
luis1253	Uto-Aztecan	Indo-European	32
luis1253	Uto-Aztecan	Algic	4
luis1253	Uto-Aztecan	Uto-Aztecan	47
luis1253	Uto-Aztecan	Austronesian	3
luis1253	Uto-Aztecan	Cariban	1
luis1253	Uto-Aztecan	Pama-Nyungan	4
luis1253	Uto-Aztecan	Unclassified	5
luis1253	Uto-Aztecan	Austroasiatic	1
luis1253	Uto-Aztecan	Chibchan	1
luis1253	Uto-Aztecan	Nakh-Daghestanian	1
luis1253	Uto-Aztecan	South Bird's Head Family	1
nort2954	Uto-Aztecan	Unclassified	26
nort2954	Uto-Aztecan	Uto-Aztecan	35
nort2954	Uto-Aztecan	Atlantic-Congo	9
nort2954	Uto-Aztecan	Lakes Plain	13
nort2954	Uto-Aztecan	Chibchan	3
nort2954	Uto-Aztecan	North Halmahera	3
nort2954	Uto-Aztecan	Nuclear-Macro-Je	5
nort2954	Uto-Aztecan	Indo-European	4
nort2954	Uto-Aztecan	Bosavi	1
nort2954	Uto-Aztecan	Uralic	1
pana1305	Uto-Aztecan	Unclassified	79
pana1305	Uto-Aztecan	Nuclear-Macro-Je	2
pana1305	Uto-Aztecan	Chibchan	3
pana1305	Uto-Aztecan	Uto-Aztecan	5
pana1305	Uto-Aztecan	Indo-European	1
pana1305	Uto-Aztecan	Lakes Plain	7
pana1305	Uto-Aztecan	Tupian	1
pana1305	Uto-Aztecan	Siouan	1
pana1305	Uto-Aztecan	Austronesian	1
shos1248	Uto-Aztecan	Unclassified	59
shos1248	Uto-Aztecan	Austronesian	20
shos1248	Uto-Aztecan	Uto-Aztecan	4
shos1248	Uto-Aztecan	North Halmahera	6
shos1248	Uto-Aztecan	Dagan	1
shos1248	Uto-Aztecan	Lakes Plain	4
shos1248	Uto-Aztecan	Timor-Alor-Pantar	3
shos1248	Uto-Aztecan	Left May	2
shos1248	Uto-Aztecan	Nuclear-Macro-Je	1
utes1238	Uto-Aztecan	Kiowa-Tanoan	3
utes1238	Uto-Aztecan	Atlantic-Congo	60
utes1238	Uto-Aztecan	Tupian	4
utes1238	Uto-Aztecan	Sino-Tibetan	4
utes1238	Uto-Aztecan	Uto-Aztecan	5
utes1238	Uto-Aztecan	Hmong-Mien	5
utes1238	Uto-Aztecan	Austronesian	6
utes1238	Uto-Aztecan	Austroasiatic	3
utes1238	Uto-Aztecan	Unclassified	6
utes1238	Uto-Aztecan	Chibchan	1
utes1238	Uto-Aztecan	North Halmahera	2
utes1238	Uto-Aztecan	Cariban	1
tuba1278	Uto-Aztecan	Atlantic-Congo	7
tuba1278	Uto-Aztecan	Uto-Aztecan	58
tuba1278	Uto-Aztecan	Cariban	5
tuba1278	Uto-Aztecan	Unclassified	28
tuba1278	Uto-Aztecan	Austroasiatic	2
mono1275	Uto-Aztecan	Tupian	12
mono1275	Uto-Aztecan	Siouan	5
mono1275	Uto-Aztecan	Pano-Tacanan	4
mono1275	Uto-Aztecan	Lakes Plain	5
mono1275	Uto-Aztecan	Unclassified	22
mono1275	Uto-Aztecan	Chibchan	6
mono1275	Uto-Aztecan	Uto-Aztecan	19
mono1275	Uto-Aztecan	Nuclear-Macro-Je	14
mono1275	Uto-Aztecan	Indo-European	8
mono1275	Uto-Aztecan	Austronesian	4
mono1275	Uto-Aztecan	Uralic	1
bang1363	Unclassified	Atlantic-Congo	95
bang1363	Unclassified	Nuclear Trans New Guinea	3
bang1363	Unclassified	Dogon	1
bang1363	Unclassified	Unclassified	1
basq1248	Unclassified	Unclassified	64
basq1248	Unclassified	Afro-Asiatic	36
kusu1250	Unclassified	Austronesian	15
kusu1250	Unclassified	Nuclear-Macro-Je	27
kusu1250	Unclassified	Nuclear Trans New Guinea	9
kusu1250	Unclassified	Unclassified	26
kusu1250	Unclassified	Khoe-Kwadi	4
kusu1250	Unclassified	Mande	16
kusu1250	Unclassified	Sino-Tibetan	2
kusu1250	Unclassified	Saharan	1
mapu1245	Unclassified	Unclassified	87
mapu1245	Unclassified	Anim	5
mapu1245	Unclassified	Goilalan	2
mapu1245	Unclassified	Tor-Orya	4
mapu1245	Unclassified	Lakes Plain	1
mapu1245	Unclassified	Nuclear Torricelli	1
