Model	Run	General	Family
lexibank	0	99.09502262443439	97.59615384615384
lexibank	1	98.19004524886878	94.41287878787878
lexibank	2	97.73755656108597	93.13914027149322
lexibank	3	99.5475113122172	95.83333333333333
lexibank	4	98.19004524886878	90.7051282051282
lexibank	5	98.19004524886878	92.8030303030303
lexibank	6	98.64253393665159	93.68131868131869
lexibank	7	98.19004524886878	96.91568047337279
lexibank	8	99.5475113122172	95.83333333333333
lexibank	9	97.73755656108597	94.29563492063492
lexibank	10	95.92760180995475	91.91666666666667
lexibank	11	98.19004524886878	96.52173913043478
lexibank	12	97.28506787330316	86.52173913043478
lexibank	13	99.5475113122172	97.91666666666667
lexibank	14	97.73755656108597	90.34878165312948
lexibank	15	98.19004524886878	92.36111111111111
lexibank	16	97.28506787330316	91.3202614379085
lexibank	17	96.83257918552036	91.76587301587301
lexibank	18	98.64253393665159	93.92361111111111
lexibank	19	99.5475113122172	99.0
lexibank	20	98.64253393665159	92.53246753246754
lexibank	21	98.19004524886878	95.0
lexibank	22	95.02262443438914	89.16666666666667
lexibank	23	98.19004524886878	95.44642857142857
lexibank	24	98.64253393665159	95.13888888888889
lexibank	25	96.83257918552036	90.57971014492753
lexibank	26	94.57013574660634	85.98484848484848
lexibank	27	98.64253393665159	96.72827172827172
lexibank	28	98.19004524886878	96.5625
lexibank	29	96.83257918552036	91.20370370370371
lexibank	30	99.09502262443439	96.52777777777777
lexibank	31	97.28506787330316	83.91304347826087
lexibank	32	98.19004524886878	89.1304347826087
lexibank	33	94.11764705882354	86.9090909090909
lexibank	34	98.19004524886878	93.16666666666667
lexibank	35	98.64253393665159	91.75824175824175
lexibank	36	97.28506787330316	88.88888888888889
lexibank	37	96.38009049773756	84.3030303030303
lexibank	38	98.19004524886878	94.87179487179488
lexibank	39	98.19004524886878	90.94202898550725
lexibank	40	98.64253393665159	96.66666666666667
lexibank	41	96.83257918552036	81.94444444444444
lexibank	42	97.28506787330316	91.72008547008546
lexibank	43	98.19004524886878	92.21014492753623
lexibank	44	95.92760180995475	83.19444444444444
lexibank	45	96.83257918552036	90.27777777777777
lexibank	46	97.73755656108597	95.05208333333333
lexibank	47	97.73755656108597	92.93333333333334
lexibank	48	96.83257918552036	92.75733927907841
lexibank	49	95.92760180995475	91.38888888888889
lexibank	50	97.28506787330316	88.54166666666667
lexibank	51	99.09502262443439	97.49163879598662
lexibank	52	98.64253393665159	93.18181818181819
lexibank	53	96.83257918552036	93.91304347826087
lexibank	54	98.19004524886878	94.09722222222223
lexibank	55	96.83257918552036	86.33540372670808
lexibank	56	95.92760180995475	85.45682695682696
lexibank	57	97.28506787330316	86.66666666666667
lexibank	58	96.38009049773756	87.56038647342996
lexibank	59	96.38009049773756	85.22727272727273
lexibank	60	97.73755656108597	94.30555555555556
lexibank	61	96.83257918552036	91.32447665056361
lexibank	62	95.92760180995475	88.61111111111111
lexibank	63	96.83257918552036	86.95652173913044
lexibank	64	96.83257918552036	88.0952380952381
lexibank	65	94.57013574660634	82.00854700854701
lexibank	66	99.09502262443439	96.15384615384616
lexibank	67	97.28506787330316	94.56521739130434
lexibank	68	98.19004524886878	91.66666666666667
lexibank	69	98.19004524886878	96.01449275362319
lexibank	70	95.02262443438914	84.30555555555556
lexibank	71	98.64253393665159	97.89855072463769
lexibank	72	95.02262443438914	84.97942386831275
lexibank	73	95.47511312217195	89.97332266239829
lexibank	74	96.83257918552036	88.22222222222223
lexibank	75	98.19004524886878	93.47826086956522
lexibank	76	97.28506787330316	88.74125874125875
lexibank	77	98.19004524886878	94.09722222222223
lexibank	78	96.83257918552036	92.45370370370371
lexibank	79	97.73755656108597	93.44532279314888
lexibank	80	97.28506787330316	89.44773175542406
lexibank	81	97.28506787330316	95.34632034632034
lexibank	82	98.64253393665159	94.0
lexibank	83	97.28506787330316	90.51069703243617
lexibank	84	96.83257918552036	90.9861932938856
lexibank	85	97.73755656108597	89.1025641025641
lexibank	86	95.47511312217195	89.97474747474747
lexibank	87	99.09502262443439	94.23076923076923
lexibank	88	98.64253393665159	96.3768115942029
lexibank	89	98.19004524886878	96.01449275362319
lexibank	90	97.73755656108597	91.2
lexibank	91	98.19004524886878	93.95833333333333
lexibank	92	97.73755656108597	91.63636363636364
lexibank	93	97.73755656108597	90.97222222222223
lexibank	94	97.28506787330316	93.19607843137256
lexibank	95	99.09502262443439	95.6
lexibank	96	98.64253393665159	95.13888888888889
lexibank	97	97.73755656108597	95.78947368421052
lexibank	98	95.47511312217195	84.0
lexibank	99	99.5475113122172	99.51690821256038
