Run	Score
1	80.26
2	79.83
3	83.26
4	82.40
5	82.83
6	78.97
7	78.97
8	81.12
9	81.55
10	79.83
11	80.26
12	83.26
13	81.12
14	82.83
15	80.26
16	82.40
17	81.12
18	83.26
19	78.97
20	81.12
21	82.40
22	81.55
23	81.97
24	78.97
25	79.83
26	80.69
27	83.69
28	82.40
29	80.69
30	81.55
31	78.11
32	80.69
33	78.97
34	79.83
35	79.83
36	79.40
37	82.40
38	78.54
39	82.83
40	78.97
41	81.97
42	79.40
43	80.69
44	81.55
45	84.98
46	83.69
47	79.83
48	84.12
49	82.83
50	79.40
51	78.97
52	82.40
53	77.68
54	79.40
55	82.40
56	80.69
57	81.12
58	80.26
59	77.25
60	81.12
61	79.83
62	80.69
63	81.55
64	84.12
65	80.69
66	80.69
67	81.12
68	81.55
69	80.69
70	81.55
71	82.40
72	83.26
73	81.12
74	80.69
75	80.69
76	82.40
77	78.97
78	77.68
79	80.69
80	79.83
81	83.26
82	81.97
83	81.12
84	80.26
85	80.69
86	83.26
87	78.11
88	79.83
89	82.40
90	82.83
91	81.55
92	79.83
93	79.83
94	82.40
95	81.55
96	82.40
97	81.12
98	79.83
99	80.69
100	80.26
0	81.00
