Language	Family	Prediction	Frequency
mand1415	Sino-Tibetan	Sino-Tibetan	100
hakk1236	Sino-Tibetan	Sino-Tibetan	99
hakk1236	Sino-Tibetan	Unclassified	1
cupe1243	Uto-Aztecan	Unclassified	56
cupe1243	Uto-Aztecan	Uto-Aztecan	30
cupe1243	Uto-Aztecan	Cariban	6
cupe1243	Uto-Aztecan	Austronesian	4
cupe1243	Uto-Aztecan	Nuclear Trans New Guinea	1
cupe1243	Uto-Aztecan	Chibchan	1
cupe1243	Uto-Aztecan	Pama-Nyungan	2
cahu1264	Uto-Aztecan	Uto-Aztecan	97
cahu1264	Uto-Aztecan	Chibchan	1
cahu1264	Uto-Aztecan	Unclassified	2
luis1253	Uto-Aztecan	Uto-Aztecan	65
luis1253	Uto-Aztecan	Unclassified	32
luis1253	Uto-Aztecan	Nuclear Trans New Guinea	2
luis1253	Uto-Aztecan	Austronesian	1
serr1255	Uto-Aztecan	Uto-Aztecan	81
serr1255	Uto-Aztecan	Unclassified	18
serr1255	Uto-Aztecan	Nuclear Trans New Guinea	1
kawa1283	Uto-Aztecan	Unclassified	91
kawa1283	Uto-Aztecan	Austronesian	4
kawa1283	Uto-Aztecan	Arawakan	3
kawa1283	Uto-Aztecan	Uto-Aztecan	2
mono1275	Uto-Aztecan	Unclassified	97
mono1275	Uto-Aztecan	Austronesian	2
mono1275	Uto-Aztecan	Chibchan	1
coma1245	Uto-Aztecan	Unclassified	75
coma1245	Uto-Aztecan	Austronesian	5
coma1245	Uto-Aztecan	Uto-Aztecan	9
coma1245	Uto-Aztecan	Tupian	3
coma1245	Uto-Aztecan	Sino-Tibetan	6
coma1245	Uto-Aztecan	Chibchan	2
nort2954	Uto-Aztecan	Unclassified	86
nort2954	Uto-Aztecan	Uto-Aztecan	13
nort2954	Uto-Aztecan	Pano-Tacanan	1
pana1305	Uto-Aztecan	Unclassified	99
pana1305	Uto-Aztecan	Nuclear-Macro-Je	1
tuba1278	Uto-Aztecan	Unclassified	91
tuba1278	Uto-Aztecan	Austronesian	4
tuba1278	Uto-Aztecan	Pama-Nyungan	1
tuba1278	Uto-Aztecan	Uto-Aztecan	2
tuba1278	Uto-Aztecan	Nuclear Trans New Guinea	2
shos1248	Uto-Aztecan	Unclassified	87
shos1248	Uto-Aztecan	Uto-Aztecan	9
shos1248	Uto-Aztecan	Sino-Tibetan	1
shos1248	Uto-Aztecan	Cariban	1
shos1248	Uto-Aztecan	Nuclear Trans New Guinea	1
shos1248	Uto-Aztecan	Chibchan	1
kusu1250	Unclassified	Sino-Tibetan	75
kusu1250	Unclassified	Nuclear Trans New Guinea	19
kusu1250	Unclassified	Unclassified	4
kusu1250	Unclassified	Pama-Nyungan	1
kusu1250	Unclassified	Dravidian	1
bang1363	Unclassified	Mande	47
bang1363	Unclassified	Unclassified	39
bang1363	Unclassified	Atlantic-Congo	10
bang1363	Unclassified	Afro-Asiatic	1
bang1363	Unclassified	Austronesian	3
mapu1245	Unclassified	Austronesian	86
mapu1245	Unclassified	Pama-Nyungan	1
mapu1245	Unclassified	Nuclear Trans New Guinea	4
mapu1245	Unclassified	Sino-Tibetan	1
mapu1245	Unclassified	Salishan	4
mapu1245	Unclassified	Atlantic-Congo	2
mapu1245	Unclassified	Unclassified	1
mapu1245	Unclassified	Tupian	1
basq1248	Unclassified	Indo-European	21
basq1248	Unclassified	Unclassified	63
basq1248	Unclassified	Sino-Tibetan	7
basq1248	Unclassified	Tai-Kadai	1
basq1248	Unclassified	Uralic	5
basq1248	Unclassified	Afro-Asiatic	1
basq1248	Unclassified	Atlantic-Congo	1
basq1248	Unclassified	Pano-Tacanan	1
