Run	Score
1	79.83
2	81.97
3	80.69
4	81.12
5	80.69
6	80.69
7	82.40
8	81.97
9	81.12
10	80.26
11	78.97
12	80.26
13	81.97
14	81.55
15	81.55
16	79.83
17	79.83
18	79.83
19	82.40
20	79.83
21	82.40
22	79.83
23	81.12
24	80.69
25	82.83
26	80.69
27	78.11
28	81.97
29	80.69
30	78.97
31	79.83
32	83.69
33	82.83
34	84.12
35	78.54
36	80.69
37	77.25
38	80.26
39	81.55
40	80.26
41	79.40
42	81.97
43	82.40
44	79.83
45	76.39
46	81.12
47	81.12
48	80.69
49	81.55
50	81.55
51	81.12
52	81.12
53	83.26
54	81.97
55	81.12
56	79.40
57	81.55
58	81.55
59	82.40
60	80.26
61	79.40
62	80.69
63	77.25
64	78.54
65	81.97
66	83.69
67	78.97
68	79.40
69	80.26
70	80.69
71	84.12
72	79.83
73	80.69
74	80.69
75	79.40
76	81.55
77	80.69
78	80.69
79	79.83
80	77.68
81	78.54
82	81.97
83	83.69
84	81.97
85	78.97
86	79.83
87	82.40
88	80.26
89	82.83
90	80.69
91	78.54
92	79.83
93	79.83
94	79.40
95	78.97
96	82.83
97	82.83
98	81.12
99	81.55
100	78.11
0	80.73
