Run	Family	Languages	Tested	Accuracy
0	Sino-Tibetan	75	17	100.0
1	Sino-Tibetan	75	15	100.0
2	Sino-Tibetan	75	15	100.0
3	Sino-Tibetan	75	17	100.0
4	Sino-Tibetan	75	14	100.0
5	Sino-Tibetan	75	13	100.0
6	Sino-Tibetan	75	14	100.0
7	Sino-Tibetan	75	12	100.0
8	Sino-Tibetan	75	12	100.0
9	Sino-Tibetan	75	14	100.0
0	Austronesian	258	48	95.833
1	Austronesian	258	53	98.113
2	Austronesian	258	54	98.148
3	Austronesian	258	52	98.077
4	Austronesian	258	45	100.0
5	Austronesian	258	51	100.0
6	Austronesian	258	48	100.0
7	Austronesian	258	49	100.0
8	Austronesian	258	53	100.0
9	Austronesian	258	45	100.0
0	Unclassified	158	31	90.323
1	Unclassified	158	29	100.0
2	Unclassified	158	32	96.875
3	Unclassified	158	35	91.429
4	Unclassified	158	41	97.561
5	Unclassified	158	42	95.238
6	Unclassified	158	35	88.571
7	Unclassified	158	34	94.118
8	Unclassified	158	27	96.296
9	Unclassified	158	28	96.429
0	Koiarian	6	1	100.0
1	Koiarian	6	2	50.0
2	Koiarian	6	1	0.0
3	Koiarian	6	1	100.0
4	Koiarian	6	1	0.0
5	Koiarian	6	2	100.0
7	Koiarian	6	1	0.0
8	Koiarian	6	1	100.0
9	Koiarian	6	3	100.0
0	Nakh-Daghestanian	7	1	0.0
2	Nakh-Daghestanian	7	1	100.0
3	Nakh-Daghestanian	7	1	0.0
4	Nakh-Daghestanian	7	2	0.0
5	Nakh-Daghestanian	7	1	0.0
6	Nakh-Daghestanian	7	2	0.0
7	Nakh-Daghestanian	7	2	0.0
8	Nakh-Daghestanian	7	1	0.0
9	Nakh-Daghestanian	7	1	0.0
0	Chibchan	16	6	83.333
1	Chibchan	16	1	100.0
2	Chibchan	16	1	0.0
3	Chibchan	16	2	50.0
4	Chibchan	16	3	100.0
5	Chibchan	16	4	50.0
6	Chibchan	16	4	50.0
7	Chibchan	16	2	100.0
8	Chibchan	16	3	66.667
9	Chibchan	16	7	57.143
0	Uralic	19	4	100.0
1	Uralic	19	3	100.0
2	Uralic	19	3	100.0
3	Uralic	19	8	87.5
4	Uralic	19	4	75.0
5	Uralic	19	5	80.0
6	Uralic	19	5	100.0
7	Uralic	19	6	100.0
8	Uralic	19	5	100.0
9	Uralic	19	7	85.714
