 21
SinoTibetan 0.0000 0.9114 1.0815 1.3709 0.8941 1.1034 0.9718 1.0014 1.1209 0.8252 1.0407 1.0331 0.9450 0.9447 0.9001 1.1590 1.0008 0.9918 0.9416 0.9458 0.9864
Austronesian 0.9114 0.0000 0.9950 1.0047 1.1063 1.0623 1.0868 1.1952 1.1045 1.0649 1.2998 0.9812 0.9507 0.7929 1.0116 0.8872 1.0092 1.0548 1.1606 0.7874 1.1704
AtlanticCongo 1.0815 0.9950 0.0000 1.0155 0.9208 1.0089 0.8063 0.7965 1.0432 1.4332 1.0548 0.8913 1.1696 0.8556 0.9834 0.9160 1.1863 0.8606 0.9063 1.0438 0.9420
PamaNyungan 1.3709 1.0047 1.0155 0.0000 0.9839 0.8603 1.1588 0.9176 0.9785 0.9976 1.0130 1.1177 1.0338 1.1904 1.1880 0.9254 1.0001 1.0099 0.7290 1.2706 0.9666
Arawakan 0.8941 1.1063 0.9208 0.9839 0.0000 1.1261 0.9649 1.0495 0.8375 0.9772 0.9444 1.0746 1.0486 0.9921 0.9116 0.8705 0.9670 0.9277 0.9009 0.9532 0.7680
Tucanoan 1.1034 1.0623 1.0089 0.8603 1.1261 0.0000 0.9546 0.9736 1.0333 1.1214 1.0060 0.8568 1.2616 1.1697 1.1355 0.9835 1.0368 0.9335 0.8244 0.9547 1.0292
Chocoan 0.9718 1.0868 0.8063 1.1588 0.9649 0.9546 0.0000 0.9524 0.8203 1.1139 1.0808 1.1844 1.1618 1.1418 0.8804 0.9125 1.0468 0.9701 1.0688 0.9594 1.0090
Chibchan 1.0014 1.1952 0.7965 0.9176 1.0495 0.9736 0.9524 0.0000 1.0764 1.1354 1.1151 0.9621 1.0741 0.9710 1.0032 1.0679 0.9300 1.2068 0.9190 0.9804 1.0773
Quechuan 1.1209 1.1045 1.0432 0.9785 0.8375 1.0333 0.8203 1.0764 0.0000 0.9631 0.9973 0.8537 0.9058 0.9862 1.1594 0.8144 0.9106 1.0362 0.9407 1.1548 0.7382
HmongMien 0.8252 1.0649 1.4332 0.9976 0.9772 1.1214 1.1139 1.1354 0.9631 0.0000 0.9909 1.1151 0.7631 1.2514 1.0509 0.9605 0.8964 1.2041 1.0537 1.0644 1.0718
UtoAztecan 1.0407 1.2998 1.0548 1.0130 0.9444 1.0060 1.0808 1.1151 0.9973 0.9909 0.0000 1.0426 0.9812 1.0841 0.8814 0.9669 1.0607 1.0693 0.9836 0.8917 0.7835
Dravidian 1.0331 0.9812 0.8913 1.1177 1.0746 0.8568 1.1844 0.9621 0.8537 1.1151 1.0426 0.0000 0.9745 0.9730 1.1483 0.9079 1.0347 1.0997 0.7789 0.8367 1.1275
Austroasiatic 0.9450 0.9507 1.1696 1.0338 1.0486 1.2616 1.1618 1.0741 0.9058 0.7631 0.9812 0.9745 0.0000 0.9107 1.1865 0.9081 0.9143 0.8626 1.1955 1.0491 0.9324
IndoEuropean 0.9447 0.7929 0.8556 1.1904 0.9921 1.1697 1.1418 0.9710 0.9862 1.2514 1.0841 0.9730 0.9107 0.0000 0.8687 0.9028 0.9598 0.9851 0.9835 0.8940 1.0393
NakhDaghestanian 0.9001 1.0116 0.9834 1.1880 0.9116 1.1355 0.8804 1.0032 1.1594 1.0509 0.8814 1.1483 1.1865 0.8687 0.0000 1.0871 0.8674 0.9802 1.1730 1.0114 1.0832
NuclearMacroJe 1.1590 0.8872 0.9160 0.9254 0.8705 0.9835 0.9125 1.0679 0.8144 0.9605 0.9669 0.9079 0.9081 0.9028 1.0871 0.0000 1.1450 0.7990 1.1277 1.0422 0.8947
Uralic 1.0008 1.0092 1.1863 1.0001 0.9670 1.0368 1.0468 0.9300 0.9106 0.8964 1.0607 1.0347 0.9143 0.9598 0.8674 1.1450 0.0000 1.2773 0.8950 0.9593 0.8896
NuclearTransNewGuinea 0.9918 1.0548 0.8606 1.0099 0.9277 0.9335 0.9701 1.2068 1.0362 1.2041 1.0693 1.0997 0.8626 0.9851 0.9802 0.7990 1.2773 0.0000 1.0479 1.1537 0.9681
AfroAsiatic 0.9416 1.1606 0.9063 0.7290 0.9009 0.8244 1.0688 0.9190 0.9407 1.0537 0.9836 0.7789 1.1955 0.9835 1.1730 1.1277 0.8950 1.0479 0.0000 1.0957 1.1701
Turkic 0.9458 0.7874 1.0438 1.2706 0.9532 0.9547 0.9594 0.9804 1.1548 1.0644 0.8917 0.8367 1.0491 0.8940 1.0114 1.0422 0.9593 1.1537 1.0957 0.0000 0.9141
Unclassified 0.9864 1.1704 0.9420 0.9666 0.7680 1.0292 1.0090 1.0773 0.7382 1.0718 0.7835 1.1275 0.9324 1.0393 1.0832 0.8947 0.8896 0.9681 1.1701 0.9141 0.0000
