Run	Family	Languages	Tested	Score
1	Indo-European	254	51	100.0
1	Austronesian	833	167	97.006
1	Central Sudanic	42	9	88.889
1	Atlantic-Congo	919	184	97.826
1	Austroasiatic	99	20	95.0
1	Ta-Ne-Omotic	19	4	75.0
1	Kadugli-Krongo	6	1	100.0
1	Sino-Tibetan	214	43	100.0
1	Tupian	42	9	88.889
1	Pama-Nyungan	118	24	91.667
1	Nuclear Trans New Guinea	262	53	96.226
1	Timor-Alor-Pantar	22	4	100.0
1	Tucanoan	19	4	100.0
1	Dogon	19	4	100.0
1	Afro-Asiatic	251	50	96.0
1	Pano-Tacanan	20	4	100.0
1	Nakh-Daghestanian	29	6	83.333
1	Nilotic	45	9	100.0
1	Quechuan	31	6	100.0
1	Unclassified	161	32	21.875
1	Mayan	31	6	100.0
1	Border	11	2	0.0
1	Athabaskan-Eyak-Tlingit	27	5	80.0
1	Mande	58	12	91.667
1	Matacoan	6	1	100.0
1	Narrow Talodi	5	1	100.0
1	Algic	33	7	71.429
1	Tai-Kadai	52	11	100.0
1	Ijoid	9	2	100.0
1	Tor-Orya	13	3	33.333
1	Turkic	30	6	100.0
1	Kiwaian	6	1	100.0
1	Left May	6	1	0.0
1	Songhay	8	2	100.0
1	Totonacan	9	2	100.0
1	Iroquoian	8	2	100.0
1	Angan	12	2	100.0
1	Heibanic	10	2	100.0
1	Mailuan	6	1	100.0
1	Uto-Aztecan	37	7	100.0
1	Sepik	25	5	100.0
1	Gunwinyguan	10	2	50.0
1	Hmong-Mien	17	3	100.0
1	Dagan	7	1	0.0
1	Chibchan	17	3	66.667
1	Siouan	17	3	66.667
1	Eskimo-Aleut	9	2	100.0
1	Mixe-Zoque	16	3	66.667
1	South Bird's Head Family	6	1	100.0
1	Huitotoan	5	1	100.0
1	Arawakan	42	9	77.778
1	Lakes Plain	19	4	50.0
1	Lower Sepik-Ramu	28	6	100.0
1	Great Andamanese	10	2	100.0
1	Nuclear-Macro-Je	17	3	100.0
1	Nubian	8	2	100.0
1	Uralic	30	6	83.333
1	East Strickland	6	1	100.0
1	Dajuic	6	1	100.0
1	Kru	13	3	33.333
1	Guaicuruan	5	1	100.0
1	Sko	10	2	100.0
1	Nuclear Torricelli	50	10	80.0
1	Otomanguean	79	16	93.75
1	Mongolic-Khitan	8	2	50.0
1	Guahiboan	5	1	100.0
1	Cariban	21	4	100.0
1	Tungusic	12	2	50.0
1	Salishan	23	5	100.0
1	Dravidian	31	6	83.333
1	Surmic	10	2	100.0
1	Yam	12	2	100.0
1	Kiowa-Tanoan	5	1	0.0
1	Miwok-Costanoan	7	1	100.0
1	Keram	5	1	0.0
1	Japonic	10	2	100.0
1	North Halmahera	8	2	50.0
1	Worrorran	5	1	0.0
1	Anim	11	2	50.0
1	South Omotic	5	1	100.0
1	Ndu	9	2	100.0
1	Khoe-Kwadi	10	2	50.0
1	Goilalan	5	1	0.0
1	Barbacoan	5	1	100.0
1	Pauwasi	5	1	100.0
1	Geelvink Bay	5	1	100.0
1	Yareban	5	1	100.0
1	Abkhaz-Adyge	5	1	100.0
1	Koiarian	7	1	100.0
1	Yeniseian	5	1	0.0
1	Muskogean	6	1	100.0
1	Caddoan	5	1	0.0
1	Wakashan	6	1	100.0
1	Eleman	5	1	100.0
1	Cochimi-Yuman	7	1	0.0
1	Bosavi	7	1	0.0
1	Chocoan	6	1	0.0
1	Saharan	7	1	100.0
1	TOTAL	4522	905	78.27356458
