Model	Run	General	Family
grambank	0	81.69934640522875	68.45173453996983
grambank	1	84.9673202614379	73.01447656286366
grambank	2	82.3529411764706	80.51978114478115
grambank	3	78.43137254901961	70.7724171539961
grambank	4	81.04575163398692	70.49309229864785
grambank	5	84.9673202614379	75.66746146934827
grambank	6	84.31372549019608	74.49098831451772
grambank	7	84.9673202614379	75.26227850327574
grambank	8	77.12418300653594	61.27244365980286
grambank	9	84.31372549019608	83.57899881668982
grambank	10	83.00653594771242	80.47958414134885
grambank	11	83.66013071895425	68.26912303382892
grambank	12	86.27450980392157	77.3024753024753
grambank	13	83.00653594771242	64.37041913539609
grambank	14	84.31372549019608	63.36678884620475
grambank	15	83.00653594771242	64.6029896029896
grambank	16	90.19607843137256	91.57407407407408
grambank	17	84.31372549019608	69.4448731800175
grambank	18	77.77777777777777	62.0296451914099
grambank	19	83.00653594771242	78.12939958592132
grambank	20	86.9281045751634	70.95014245014245
grambank	21	83.00653594771242	66.90415687271033
grambank	22	83.66013071895425	76.05265619154508
grambank	23	81.69934640522875	67.43652831265155
grambank	24	85.62091503267973	75.90383161811734
grambank	25	83.00653594771242	77.2541380188439
grambank	26	83.66013071895425	80.08726639214444
grambank	27	87.58169934640523	80.8755980861244
grambank	28	84.31372549019608	71.26039438772885
grambank	29	81.69934640522875	70.52782819116757
grambank	30	79.73856209150327	65.71495171495171
grambank	31	81.04575163398692	74.34444881631582
grambank	32	84.31372549019608	80.44471642510858
grambank	33	82.3529411764706	66.85267231940519
grambank	34	86.27450980392157	72.60329778622462
grambank	35	84.31372549019608	68.37102113572702
grambank	36	88.23529411764706	83.47694633408919
grambank	37	84.31372549019608	77.93859649122807
grambank	38	85.62091503267973	77.97316253545443
grambank	39	83.00653594771242	66.39908008658008
grambank	40	81.69934640522875	72.16791979949875
grambank	41	82.3529411764706	65.10828352933616
grambank	42	84.31372549019608	70.28106811313643
grambank	43	84.31372549019608	78.4000850340136
grambank	44	84.9673202614379	70.66624895572264
grambank	45	86.27450980392157	77.42412551440329
grambank	46	87.58169934640523	75.93448490507313
grambank	47	86.27450980392157	83.12219943798891
grambank	48	86.9281045751634	80.64279415469892
grambank	49	77.77777777777777	75.55938819537808
grambank	50	83.00653594771242	76.06495400205682
grambank	51	86.9281045751634	88.06435732187612
grambank	52	83.66013071895425	69.40912983334431
grambank	53	84.31372549019608	75.70978663697784
grambank	54	85.62091503267973	84.40806878306879
grambank	55	84.31372549019608	81.68717419491414
grambank	56	80.3921568627451	68.75376867114933
grambank	57	85.62091503267973	77.40243465807376
grambank	58	83.66013071895425	69.77540003855793
grambank	59	81.69934640522875	73.39371155160629
grambank	60	81.69934640522875	78.27731092436974
grambank	61	78.43137254901961	67.76608636286056
grambank	62	83.00653594771242	64.11883815109621
grambank	63	77.77777777777777	53.69537480063796
grambank	64	86.27450980392157	83.48560982379571
grambank	65	81.69934640522875	68.91937167023673
grambank	66	78.43137254901961	68.15135171018984
grambank	67	84.9673202614379	75.31347410759176
grambank	68	85.62091503267973	82.2608225108225
grambank	69	79.73856209150327	65.36384063607294
grambank	70	81.04575163398692	72.64883967771506
grambank	71	86.9281045751634	73.81232779850292
grambank	72	90.84967320261438	87.7180615017692
grambank	73	84.9673202614379	64.78630448746416
grambank	74	82.3529411764706	72.22885020196848
grambank	75	77.12418300653594	65.58138767972564
grambank	76	86.9281045751634	75.48586220629231
grambank	77	85.62091503267973	74.30573239396769
grambank	78	86.27450980392157	90.98798076923077
grambank	79	82.3529411764706	69.66468253968254
grambank	80	85.62091503267973	78.40802987861811
grambank	81	87.58169934640523	85.37544563279857
grambank	82	81.04575163398692	77.2148569023569
grambank	83	83.66013071895425	78.15884939177067
grambank	84	85.62091503267973	70.26455026455027
grambank	85	80.3921568627451	78.50214375894998
grambank	86	81.04575163398692	77.46644462615424
grambank	87	83.66013071895425	81.94405594405595
grambank	88	85.62091503267973	79.13000670353611
grambank	89	83.66013071895425	78.87202380952381
grambank	90	80.3921568627451	70.57242465137202
grambank	91	86.27450980392157	80.70828823953823
grambank	92	81.69934640522875	79.31136077938403
grambank	93	84.31372549019608	70.17594491278702
grambank	94	83.66013071895425	74.579530376744
grambank	95	81.69934640522875	71.11801242236025
grambank	96	79.73856209150327	62.31667852062589
grambank	97	80.3921568627451	78.916263475087
grambank	98	88.23529411764706	81.20358367182324
grambank	99	86.9281045751634	77.531328320802
