 18
SinoTibetan 0.0000 0.9036 0.9835 1.2204 1.1087 1.0268 0.9591 1.0344 0.8853 1.1269 0.8709 1.0899 0.8472 0.9774 1.0672 1.0724 1.0261 0.6720
Austronesian 0.9036 0.0000 1.1093 1.0091 1.1552 0.8199 0.8675 0.9168 0.9561 1.0735 1.0304 0.8645 0.9898 1.0353 1.0716 1.1629 0.9298 0.8016
AtlanticCongo 0.9835 1.1093 0.0000 0.9925 0.9789 1.3359 1.0396 1.1511 0.9776 0.9707 0.8785 0.9239 1.0459 1.0374 1.2938 0.9949 0.9962 1.0436
PamaNyungan 1.2204 1.0091 0.9925 0.0000 0.9964 1.1582 1.1013 1.0544 1.0499 0.8340 0.9564 0.8743 1.1887 1.0345 0.9533 1.1175 1.1466 1.0487
Arawakan 1.1087 1.1552 0.9789 0.9964 0.0000 1.1454 1.0634 1.0071 1.1281 0.9863 0.8629 1.0037 0.9055 1.0453 1.1384 0.8131 1.1031 0.7861
Tucanoan 1.0268 0.8199 1.3359 1.1582 1.1454 0.0000 0.7574 1.0960 1.0464 0.8963 1.1313 0.9856 1.0984 0.9965 0.8042 0.9370 0.8666 0.9880
HmongMien 0.9591 0.8675 1.0396 1.1013 1.0634 0.7574 0.0000 0.9835 0.8982 1.1622 1.3567 0.8416 1.0938 1.2631 0.9479 0.9775 1.0237 0.8557
UtoAztecan 1.0344 0.9168 1.1511 1.0544 1.0071 1.0960 0.9835 0.0000 0.9188 1.2052 0.9149 0.9183 0.9157 1.1422 1.0329 1.0961 0.8044 0.8448
Austroasiatic 0.8853 0.9561 0.9776 1.0499 1.1281 1.0464 0.8982 0.9188 0.0000 1.0944 0.8756 0.9018 1.3451 1.0578 0.9737 0.9578 0.7625 0.9982
IndoEuropean 1.1269 1.0735 0.9707 0.8340 0.9863 0.8963 1.1622 1.2052 1.0944 0.0000 1.0618 1.0136 1.0290 1.0013 0.8776 0.9664 0.8856 1.1430
NakhDaghestanian 0.8709 1.0304 0.8785 0.9564 0.8629 1.1313 1.3567 0.9149 0.8756 1.0618 0.0000 1.2334 0.9009 0.8313 1.0794 0.8736 0.8653 0.8428
Uralic 1.0899 0.8645 0.9239 0.8743 1.0037 0.9856 0.8416 0.9183 0.9018 1.0136 1.2334 0.0000 1.1522 0.8820 0.8013 0.9332 1.0171 1.2201
NuclearTransNewGuinea 0.8472 0.9898 1.0459 1.1887 0.9055 1.0984 1.0938 0.9157 1.3451 1.0290 0.9009 1.1522 0.0000 0.9053 1.1098 0.9271 1.0424 0.9643
AfroAsiatic 0.9774 1.0353 1.0374 1.0345 1.0453 0.9965 1.2631 1.1422 1.0578 1.0013 0.8313 0.8820 0.9053 0.0000 0.7186 0.9275 0.9943 0.9228
Turkic 1.0672 1.0716 1.2938 0.9533 1.1384 0.8042 0.9479 1.0329 0.9737 0.8776 1.0794 0.8013 1.1098 0.7186 0.0000 1.0383 0.8884 1.0789
Unclassified 1.0724 1.1629 0.9949 1.1175 0.8131 0.9370 0.9775 1.0961 0.9578 0.9664 0.8736 0.9332 0.9271 0.9275 1.0383 0.0000 1.0084 1.0108
Tacanan 1.0261 0.9298 0.9962 1.1466 1.1031 0.8666 1.0237 0.8044 0.7625 0.8856 0.8653 1.0171 1.0424 0.9943 0.8884 1.0084 0.0000 0.8928
Panoan 0.6720 0.8016 1.0436 1.0487 0.7861 0.9880 0.8557 0.8448 0.9982 1.1430 0.8428 1.2201 0.9643 0.9228 1.0789 1.0108 0.8928 0.0000
